Title	Rule	Severity	Scope	Language	Buckets
Linear issues referenced in PR must be validated	If a PR references a Linear issue (check `pr_title` and `pr_description` for Linear issue patterns like LIN-123, ABC-456, or explicit 'Refs: LIN-123'), the issue must exist and be accessible. Follow these steps: (1) Extract Linear issue identifiers from `pr_title` and `pr_description`. Look for patterns matching Linear issue format or explicit mentions. (2) For each Linear issue identifier found, use @mcp<linear|get_issue> tool with the issue identifier to retrieve issue details. (3) Verify issue information: Check that the issue exists, is accessible, has a valid state, and matches the PR's purpose. If the PR is completing the issue, verify the issue is in a completable state. (4) Extract relevant issue information: Get issue title, description, state, assignee, and related cycle/project information that should be reflected in the PR. (5) If issue is not found or inaccessible, create a suggestion requiring a valid Linear issue reference. If issue exists but state/details don't match PR purpose, create a suggestion to update the issue or clarify the relationship. (6) Ensure `pr_description` includes the Linear issue identifier in a clear format like 'Refs: LIN-123' or 'Closes: LIN-123'.	Medium	pull-request		[pr-hygiene,maintainability]
Performance changes must verify monitoring metrics	When code changes affect performance (check `pr_description` for performance keywords, `pr_files_diff` for database queries, API endpoints, or performance-critical code), corresponding monitoring metrics should be verified. Follow these steps: (1) Identify performance-related changes: Analyze `pr_files_diff` for database query modifications, new API endpoints, caching changes, or algorithm optimizations. Check `pr_description` for mentions of performance improvements or optimizations. (2) Extract metric identifiers: Identify service names, endpoint paths, database table names, or function names that should have corresponding metrics. (3) Use monitoring MCP tools to verify metrics exist: For Datadog, use @mcp<datadog|get_metrics> tool with service name and metric name patterns (e.g., 'api.request.duration', 'db.query.time') to check if metrics are being collected. For Prometheus, use @mcp<prometheus|query> tool with PromQL queries to verify metrics exist (e.g., 'http_request_duration_seconds', 'database_query_duration'). For CloudWatch, use @mcp<cloudwatch|get_metrics> tool with namespace and metric name to verify metric collection. (4) If performance-critical changes don't have corresponding metrics, create a suggestion requiring metric instrumentation with specific metric names that should be added (latency, throughput, error rate, etc.).	High	pull-request		[performance-efficiency,observability-logging]
Production logs must be checked for error patterns	When code changes modify error handling, logging, or exception handling (check `pr_files_diff` for error handling code, logging statements, or exception catches), production logs should be checked for related error patterns. Follow these steps: (1) Analyze `pr_files_diff` to identify error handling changes: Look for new exception types, error messages, logging statements, or error handling logic. Extract error message patterns, exception class names, or log message formats. (2) Extract service names, function names, or file paths from the code changes to identify where errors might occur. (3) Use logging MCP tools to search production logs: For Datadog, use @mcp<datadog|get_logs> tool with the service name and error message patterns to search for recent occurrences of similar errors in production logs. Search for logs from the past 7 days. (4) Analyze log results: Check if the error patterns being modified are actually occurring in production. Verify error frequency, affected users, and error context. (5) If production logs show related errors but the PR doesn't reference them, create a suggestion requiring the PR author to reference the production error patterns found in logs and explain how the changes address those errors.	Medium	pull-request		[error-handling,observability-logging]
Performance changes must analyze Sentry traces	When code changes affect performance-critical paths (check `pr_description` for performance keywords, `pr_files_diff` for database queries, API endpoints, or performance optimizations), Sentry performance traces should be analyzed. Follow these steps: (1) Identify performance-related changes: Check `pr_files_diff` for database query modifications, new API endpoints, caching changes, algorithm optimizations, or async/await patterns. Check `pr_description` for mentions of performance improvements, latency reduction, or optimization. (2) Extract function names, endpoint paths, or operation names that should have performance traces. (3) Use Sentry trace analysis: Use @mcp<sentry|get_trace_details> tool with transaction names or operation names to retrieve performance traces. Search for traces related to the modified code paths. Analyze trace duration, span breakdown, and performance bottlenecks. (4) Verify performance impact: Check if the changes improve or maintain performance based on trace data. Identify any performance regressions or improvements. (5) If performance-critical changes don't have corresponding trace analysis, create a suggestion requiring trace analysis with specific transaction names or operations that should be monitored, and require that performance metrics be included in the PR description.	High	pull-request		[performance-efficiency,observability-logging]
Test coverage must meet minimum threshold	When code changes add new features or modify existing functionality (check `pr_files_diff` for new functions, classes, or modified logic), test coverage should be verified to meet minimum thresholds. Follow these steps: (1) Identify code changes: Analyze `pr_files_diff` to identify new functions, classes, methods, or modified logic that should have test coverage. Extract file paths and function/class names. (2) Use coverage MCP tools: For SonarQube, use @mcp<sonarqube|get_coverage> tool with the file path or component name to retrieve current test coverage metrics. Check line coverage, branch coverage, and function coverage percentages. (3) Verify coverage thresholds: Check if the modified or new code meets minimum coverage thresholds (typically 80% line coverage, 70% branch coverage). Verify that new code has corresponding test files. (4) If coverage is below thresholds or new code lacks tests, create a specific suggestion requiring test coverage with details about which functions/files need tests and what coverage percentage should be achieved. Require that test files be added or updated before merging.	High	pull-request		[testing-quality,maintainability]
Dependency licenses must be validated	When code changes include new dependencies (check `pr_files_diff` for package.json, requirements.txt, pom.xml, Gemfile, go.mod, Cargo.toml, or similar dependency files), dependency licenses must be validated for compliance. Follow these steps: (1) Identify new dependencies: Check `pr_files_diff` for dependency file modifications. Extract the list of newly added package names and versions. (2) Use license validation MCP tools: Use @mcp<snyk|get_licenses> tool with the package names to retrieve license information for each dependency. Check license types (MIT, Apache, GPL, proprietary, etc.) and license compatibility. (3) Verify license compliance: Check if licenses are compatible with your project's license policy. Identify any GPL, AGPL, or other copyleft licenses that might require special handling. Verify that proprietary licenses are acceptable. (4) If dependencies have incompatible or problematic licenses, create a specific suggestion listing each dependency with its license type, explaining why it's problematic, and requiring either: replacement with a compatible alternative, or documentation of why the license is acceptable with legal approval.	Critical	pull-request		[security-hardening,dependency-supply-chain]
Code quality metrics must meet SonarQube standards	When code changes are made (check `pr_files_diff` for any code modifications), code quality metrics should be verified against SonarQube standards. Follow these steps: (1) Identify modified files: Extract file paths from `pr_files_diff` that contain code changes. (2) Use SonarQube quality metrics: Use @mcp<sonarqube|get_measures> tool with the file path or component name to retrieve quality metrics including: code smells, bugs, vulnerabilities, technical debt ratio, maintainability rating, reliability rating, and security rating. (3) Use @mcp<sonarqube|get_issues> tool to retrieve specific quality issues for the modified files, including code smells, bugs, and vulnerabilities. (4) Verify quality standards: Check that code smells are within acceptable limits, no critical bugs exist, no high-severity vulnerabilities are introduced, and maintainability rating is acceptable (A or B rating). (5) If quality metrics don't meet standards, create a specific suggestion listing each quality issue found (code smells, bugs, vulnerabilities) with their severity and location, and require that they be addressed before merging.	Medium	pull-request		[testing-quality,maintainability]
Monitoring dashboards must be updated for new features	When code changes introduce new features, endpoints, or services (check `pr_files_diff` for new API endpoints, service files, or feature implementations), corresponding monitoring dashboards should be created or updated. Follow these steps: (1) Identify new features: Analyze `pr_files_diff` to identify new API endpoints, service classes, feature modules, or functionality. Extract service names, endpoint paths, feature identifiers, or component names. (2) Use dashboard MCP tools: For Datadog, use @mcp<datadog|get_dashboards> tool with service name or feature identifier to check if dashboards exist for the new feature. Search for dashboards containing relevant metrics (error rate, latency, throughput, user activity). (3) Verify dashboard coverage: Check if dashboards include metrics for the new feature: error rates, request latency, throughput, success rates, user engagement metrics. Verify that dashboards are properly configured and accessible. (4) If dashboards are missing or incomplete for new features, create a specific suggestion requiring dashboard creation or update with details about which metrics should be monitored (error rate, latency, throughput, etc.) and which dashboards need to be created or updated.	Medium	pull-request		[observability-logging,maintainability]
Active incidents must be checked before deployment	When a PR is ready to merge and deploy (check `pr_description` for deployment keywords, merge status, or production readiness), active incidents should be checked to avoid deploying during ongoing issues. Follow these steps: (1) Identify deployment readiness: Check `pr_description` for keywords like 'ready to deploy', 'merge', 'production', or deployment status. (2) Use incident MCP tools: For Datadog, use @mcp<datadog|get_incidents> tool to check for active incidents in the affected services or systems. Check incident severity, status (open, investigating, resolved), and affected services. (3) Verify incident status: Check if there are any active incidents (status: open or investigating) that might be affected by the deployment or that should be resolved before deploying. Verify incident severity and impact. (4) If active incidents exist that could be affected by the deployment, create a suggestion requiring that the incident be resolved or acknowledged before deployment, or that deployment be delayed until the incident is resolved. Include incident details (ID, severity, affected services) in the suggestion.	High	pull-request		[ci-cd-build-hygiene,observability-logging]
Jira project context must be validated	If a PR references a Jira ticket (check `pr_title` and `pr_description` for Jira ticket patterns like PROJ-123), the Jira project context should be validated. Follow these steps: (1) Extract Jira ticket keys from `pr_title` and `pr_description`. Look for patterns matching [A-Z]+-[0-9]+ format. Extract the project key (e.g., 'PROJ' from 'PROJ-123'). (2) Use Jira project MCP tools: Use @mcp<jira|get_project> tool with the project key to retrieve project information including project name, key, description, and project type. (3) Verify project context: Check that the project is active, accessible, and relevant to the codebase. Verify that the project type matches the PR's purpose (software development project, not a support or documentation project). (4) If multiple tickets from different projects are referenced, verify that all projects are relevant and accessible. (5) If project context doesn't match or project is inaccessible, create a suggestion requiring valid project references or explaining project relevance. Ensure `pr_description` includes project context when multiple projects are involved.	Low	pull-request		[pr-hygiene,maintainability]
Linear project and cycle context must be validated	If a PR references a Linear issue (check `pr_title` and `pr_description` for Linear issue patterns), the Linear project and cycle context should be validated. Follow these steps: (1) Extract Linear issue identifiers from `pr_title` and `pr_description`. (2) Use Linear context MCP tools: Use @mcp<linear|get_issue> tool to get the issue details and extract project and cycle information. Use @mcp<linear|get_project> tool with the project identifier to retrieve project information including project name, description, and status. Use @mcp<linear|get_cycle> tool with the cycle identifier to retrieve cycle information including cycle name, start date, end date, and status. (3) Verify project and cycle context: Check that the project is active and relevant to the codebase. Verify that the cycle is current or appropriate for the work being done. Check that the issue's project and cycle align with the PR's purpose. (4) If project or cycle context doesn't match or is inaccessible, create a suggestion requiring valid project/cycle references or explaining context relevance. Ensure `pr_description` includes project and cycle information when relevant.	Low	pull-request		[pr-hygiene,maintainability]
Console.log statements must not be committed in production code	The `fileDiff` must not contain `console.log`, `console.debug`, `console.info`, `print()`, or similar debugging statements in files that are not test files. Follow these steps: (1) Check the `filePath` context variable to determine if the file is a test file. Test files typically have patterns like '.test.', '.spec.', '/test/', '/spec/', '__tests__', or end with 'Test' or 'Spec'. (2) Analyze the `fileDiff` to identify any added lines containing `console.log`, `console.debug`, `console.info`, `print()`, `System.out.println`, or similar debugging statements. Look for lines starting with '+' that contain these patterns. (3) Use code quality MCP tools to verify: For SonarQube, use @mcp<sonarqube|get_issues> tool with the file path to check if there are code quality issues related to console.log statements or logging anti-patterns. Verify that code quality standards flag console.log usage in production code. (4) If debugging statements are found in non-test files, create a specific suggestion listing each occurrence with the line number and requiring that debugging statements be removed or replaced with proper logging using the application's logging framework (e.g., logger.debug(), logger.info()). (5) If debugging statements are in test files, they are acceptable and no action is needed.	Medium	file		[style-conventions,observability-logging]
Hardcoded secrets must not be committed	The `fileDiff` must not contain hardcoded secrets, API keys, passwords, tokens, or sensitive credentials. Follow these steps: (1) Analyze the `fileDiff` to identify any added lines containing potential secrets. Look for patterns like: API keys (patterns like 'api_key', 'apikey', 'secret', 'token', 'password', 'pwd', 'passwd'), hardcoded values that look like secrets (long random strings, base64 encoded strings, JWT tokens), database connection strings with credentials, AWS access keys, or OAuth tokens. (2) Check for common secret patterns: Look for lines starting with '+' that contain assignments like 'password =', 'apiKey =', 'secret =', 'token =', or similar patterns followed by hardcoded values. (3) Use security scanning MCP tools to verify: For SonarQube, use @mcp<sonarqube|get_hotspots> tool with the file path to check for security hotspots related to hardcoded secrets. For Snyk, use @mcp<snyk|test_project> tool to scan for exposed secrets or credentials. Cross-reference the fileDiff analysis with security scan results. (4) Verify if values are actual secrets or placeholders: Check if values are clearly placeholders (e.g., 'YOUR_API_KEY', 'placeholder', 'example.com') which are acceptable. (5) If actual secrets are found, create a critical suggestion requiring immediate removal of the secret, explanation of how to use environment variables or secret management systems instead, and verification that the secret has been rotated if it was exposed.	Critical	file		[security-hardening]
TODO and FIXME comments must reference tickets	The `fileDiff` must not contain TODO or FIXME comments without ticket references. Follow these steps: (1) Analyze the `fileDiff` to identify any added lines containing TODO or FIXME comments. Look for patterns like 'TODO:', 'FIXME:', 'HACK:', 'XXX:', or similar technical debt markers. (2) Check if TODO/FIXME comments include ticket references: Verify that each TODO/FIXME comment includes a reference to an issue tracking system (Jira ticket like PROJ-123, Linear issue like LIN-123, GitHub issue like #123, or explicit ticket ID). (3) If TODO/FIXME comments are found without ticket references, create a suggestion requiring that each TODO/FIXME comment include a ticket reference in format like 'TODO(PROJ-123): description' or 'FIXME: description (Refs: LIN-456)'. (4) If TODO/FIXME comments have ticket references, verify they are valid using appropriate MCP tools (@mcp<jira|get_issue>, @mcp<linear|get_issue>, @mcp<github|get_issue>) to ensure tickets exist.	Low	file		[maintainability,style-conventions]
Architectural changes must have ADR documentation	When code changes involve architectural decisions, significant design changes, or technology choices (check `pr_files_diff` for new frameworks, libraries, patterns, infrastructure changes, or major refactorings), an Architecture Decision Record (ADR) must be created or referenced. Follow these steps: (1) Analyze `pr_files_diff` and `pr_description` to identify architectural changes: Look for new framework or library introductions, major pattern changes (e.g., switching from REST to GraphQL, adding microservices, changing database, introducing caching layer), infrastructure changes (new services, message queues, event systems), or significant refactorings that change system architecture. Check `pr_description` for keywords like 'architecture', 'design', 'pattern', 'framework', 'infrastructure', 'refactor', or 'migration'. (2) Use repository MCP tools to locate ADR directory: Use @mcp<kodus|kodus_get_repository_files> tool to search for ADR directories. Common locations include 'docs/adr/', 'docs/architecture/', 'adr/', 'docs/decisions/', or 'architecture/decisions/'. Look for files matching ADR naming patterns like 'ADR-*.md', '*-adr.md', or numbered formats like '0001-*.md'. (3) For each architectural change identified, use @mcp<kodus|kodus_get_repository_content> tool to check if an ADR exists that documents this decision. Search ADR files for keywords related to the architectural change (framework name, pattern name, technology name). (4) Verify ADR completeness: If an ADR exists, verify it includes: context (why the decision is needed), decision (what was decided), consequences (pros and cons, impact), and status (proposed, accepted, deprecated). (5) If architectural changes are detected but no ADR exists or is referenced, create a specific suggestion requiring an ADR to be created with details about what architectural decision needs to be documented and where it should be located. The `pr_description` must reference the ADR number or include a link to the ADR file.	Medium	pull-request		[docs-adrs,maintainability]
